id;nom;categorie;ville;description;actif;coup_de_coeur;citation_haykel;gps_lat;gps_lng;photo_url;tel;horaires;prix;tags
1;Restaurant El Mansourah;restaurant;Kelibia;"Tables les pieds dans l'eau; fruits de mer ultra-frais; vue paradisiaque sur mer turquoise.";OUI;NON;"Réservez une table sur les rochers en bord de mer ; le muscat de Kélibia est parfait avec la dorade grillée.";36.8720;11.1050;;+216 72 295 169;8h-1h (Ouvert 7j/7);Non précisé;"fruits de mer; vue mer; romantique; local; poisson frais"
2;Le Petit Pêcheur;restaurant;Kelibia;"Près du port; pizzas au feu de bois et fritures de mer ; petit prix; ambiance locale.";OUI;NON;"Essayez les farfalles aux chevrettes ou la pizza fruits de mer ; généreux et savoureux.";36.8455;11.0960;;+216 72 274 873;12h-22h (Fermé mardi);Non précisé;"pizza; poisson; port; local; abordable"
3;Restaurant Le Pêcheur Kélibia;restaurant;Kelibia;"Vue panoramique sur la plage de Kélibia; fruits de mer frais et couchers de soleil époustouflants.";OUI;NON;Installez-vous en terrasse pour le coucher de soleil avec une assiette de crevettes grillées.;36.8480;11.1010;;;11h-23h (Ouvert 7j/7 en saison);Non précisé;"vue mer; coucher de soleil; fruits de mer; terrasse"
4;Restaurant Les Grottes;restaurant;El Haouaria;"Cuisine tunisienne authentique près des grottes romaines; menu abordable; personnel serviable.";OUI;NON;"Idéal après la visite des grottes ; mechouia maison et grillades fraîches ; petit budget.";37.0520;11.0060;;;9h-20h (Saison avril-octobre);Non précisé;"tunisien; authentique; grottes; budget; famille"
5;Restaurant La Daurade;restaurant;El Haouaria;"Vue mer et cuisine méditerranéenne raffinée près des grottes puniques; poissons du port.";OUI;NON;"La daurade au citron confit avec vue sur la mer ; une adresse incontournable de la pointe du Cap.";37.0530;11.0070;;;12h-22h (Fermé lundi);Non précisé;"poisson; vue mer; méditerranéen; fruits de mer"
6;La Sirène;restaurant;El Haouaria;"Adresse authentique et pas chère sur la plage sud; poissons ultra-frais directement du port.";OUI;NON;"Superbe rapport qualité-prix ; tout est fait maison; demandez la soupe de poisson du jour.";37.0490;11.0050;;;11h-22h (En saison);Non précisé;"authentique; poisson; local; abordable; plage"
7;Sunset Park Restaurant;restaurant;El Haouaria;Cuisine tunisienne avec vues panoramiques à couper le souffle depuis les hauteurs du cap.;OUI;NON;"Le meilleur spot coucher de soleil du Cap Bon ; venez pour le thé et restez pour dîner.";37.0550;11.0040;;;12h-23h (Ouvert 7j/7);Non précisé;"vue panoramique; tunisien; coucher de soleil; terrasse"
8;L'Aragosta;restaurant;El Haouaria;"Spécialiste des fruits de mer et homards sur la côte; cadre marin authentique.";OUI;NON;"Homard et langoustes à prix tunisien ; une rareté. Réservez absolument en été.";37.0510;11.0030;;;12h-22h (Fermé mercredi);Non précisé;"homard; fruits de mer; poisson; bord de mer; spécialités"
9;Plage de la Mansoura;plage;Kelibia;"L'une des plus belles plages de Méditerranée : sable blanc immaculé; eau turquoise cristalline.";OUI;NON;"La plage de mes rêves en Tunisie ; venez tôt le matin pour la trouver quasi déserte.";36.8780;11.1100;;;Accès libre;Gratuit;"sable blanc; eau turquoise; famille; baignade; snorkeling"
10;Plage Petit Paris;plage;Kelibia;"Petite plage charmante et préservée juste au sud de la Mansoura; appréciée des locaux.";OUI;NON;"La plage des habitués ; moins fréquentée; idéale pour un bain hors saison.";36.8710;11.1080;;;Accès libre;Gratuit;"plage; calme; local; baignade; authentique"
11;Plage d'El Haouaria;plage;El Haouaria;"Plage de sable fin bordée de criques rocheuses; eau translucide; idéale pour le snorkeling.";OUI;NON;"Eau parmi les plus claires de Tunisie ; apportez masque et tuba; les fonds sont splendides.";37.0480;11.0020;;;Accès libre;Gratuit;"eau cristalline; snorkeling; nature; criques; calme"
12;Plage Rtiba;plage;El Haouaria;"Plage secrète sauvage cachée au fond d'une piste; fréquentée seulement par les pêcheurs locaux.";OUI;NON;"Le secret le mieux gardé du Cap Bon ; 4x4 recommandé; mais l'isolement total en vaut la peine.";37.0620;11.0200;;;Accès libre (piste);Gratuit;"sauvage; secret; isolé; nature; hors des sentiers"
13;Plage de Korba;plage;Korba;"Longue plage de sable fin calme; moins fréquentée que Hammamet; idéale pour les familles.";OUI;NON;La plage de Korba pour se ressourcer loin des grands hôtels touristiques.;36.5750;10.8640;;;Accès libre;Gratuit;"sable fin; famille; calme; baignade; authentique"
14;Cap Bon Kelibia Beach Hotel & Spa;hebergement;Kelibia;"Seul hôtel 4* sur la plage de la Mansoura; piscines; spa et accès direct à la mer turquoise.";OUI;NON;"Le meilleur hôtel du Cap Bon ; demandez une chambre vue mer côté nord pour le lever du soleil.";36.8780;11.1080;;+216 72 277 777;Réception 24h/24;Non précisé;"4 étoiles; plage; piscine; spa; vue mer; famille"
15;Dar Lina Charme et Nature;hebergement;El Haouaria;"Maison d'hôtes authentique avec jardin; cadre nature préservé; accueil chaleureux.";OUI;NON;"La maison d'hôtes parfaite pour découvrir El Haouaria comme un local ; petit-déj maison inclus.";37.0500;11.0060;;;Check-in 14h-20h;Non précisé;"maison d'hôtes; authentique; nature; charme; calme"
16;Villa Island Zembra;hebergement;El Haouaria;"Hébergement vue mer avec vue sur l'Île de Zembra; jardin; idéal plongée et pêche.";OUI;NON;"Pour les amateurs de plongée ; la vue sur Zembra depuis la terrasse est inoubliable.";37.0490;11.0070;;;Sur réservation;Non précisé;"vue mer; île Zembra; plongée; pêche; nature"
17;Fort de Kélibia;activite;Kelibia;"Citadelle byzantine du XVIe siècle sur promontoire; plus grand fort de Tunisie. Vue imprenable.";OUI;NON;"Montez au crépuscule pour admirer les deux mers simultanément ; vue jusqu'en Sicile par temps clair.";36.8500;11.0940;;;9h-17h (hiver) / 9h-19h (été);8 Dt;"histoire; panorama; fort; byzantin; vue mer"
18;Site Punique de Kerkouane;activite;Kerkouane;"Seul site punique intact au monde; classé UNESCO. Ruines carthaginoises exceptionnellement préservées.";OUI;NON;"Un must absolu ; la seule ville carthaginoise jamais reconstruite par les Romains. Prévoir 2h.";36.9460;11.0620;;;9h-17h (Fermé lundi);Non précisé;"UNESCO; carthaginois; punique; archéologie; histoire"
19;Grottes de Ghar El Kebir;activite;El Haouaria;Carrières souterraines géantes creusées dès l'époque punique pour bâtir Carthage. Accès officiel confirmé 2025.;OUI;NON;"Les grottes les plus impressionnantes de Tunisie ; les pierres de Carthage ont été taillées ici. Prévoir 1h de visite.";37.0592;10.9954;;+216 72 273 074;9h-17h (hiver) / 9h-18h (été);8 Dt;"grottes; romain; punique; carthage; histoire; archéologie"
20;Festival de la Fauconnerie El Haouaria;activite;El Haouaria;"Festival annuel célébrant la tradition millénaire de fauconnerie; unique au monde. Généralement en juin.";OUI;NON;"La tradition la plus authentique du Cap Bon ; les familles dressent leurs rapaces depuis l'Antiquité.";37.0520;11.0040;;;Juin chaque année;Gratuit;"fauconnerie; festival; tradition; culture; unique"
21;Port de pêche de Kélibia;activite;Kelibia;"Port animé avec débarquement des pêcheurs tôt le matin; marché aux poissons authentique.";OUI;NON;"Arrivez à 6h pour voir les pêcheurs débarquer leur prise ; achetez du poisson ultra-frais sur place.";36.8450;11.0920;;;Marché 5h-8h;Gratuit;"port; pêche; marché; poisson; authentique; local"
22;Musée Archéologique de Nabeul;activite;Nabeul;Musée riche en mosaïques romaines et artefacts puniques de la région du Cap Bon.;OUI;NON;Les mosaïques de la Maison des Nymphes valent seules le déplacement à Nabeul.;36.4570;10.7350;;;9h-16h (Fermé lundi);Non précisé;"musée; mosaïque; romain; punique; culture; histoire"
23;Souk de Nabeul (vendredi);activite;Nabeul;"Le plus grand souk hebdomadaire de la région; poterie; céramiques; épices; artisanat local.";OUI;NON;"Le vendredi matin c'est LA référence ; marchandez les céramiques bleues de Nabeul pour un souvenir unique.";36.4560;10.7340;;;Vendredi 7h-13h;Gratuit;"souk; poterie; artisanat; céramique; épices; marché"
24;Randonnée Cap Bon - Ras Adar;randonnee;El Haouaria;"Sentier jusqu'au sommet du Ras Adar; point le plus haut du cap. Vue sur la Sicile par temps clair.";OUI;NON;"Le bout du monde tunisien ; au sommet on voit les deux mers et la Sicile à 140km. Magique.";37.0590;11.0100;;;Accessible toute l'année;Gratuit;"randonnée; panorama; sommet; vue mer; nature; Sicile"
25;Sentier côtier Kerkouane - Plage Rtiba;randonnee;Kelibia;"Randonnée côtière sauvage entre falaises dorées et criques secrètes; flore méditerranéenne.";OUI;NON;"Le sentier le plus sauvage du Cap Bon ; 4h aller-retour; prévoir de l'eau et un pique-nique.";36.9460;11.0620;;;Accessible printemps/automne;Gratuit;"randonnée côtière; nature; sauvage; falaises; criques"
26;Korbous - Sources thermales;activite;Korbous;Station thermale pittoresque nichée entre falaises et mer. Sources d'eau chaude naturelles (Ain Atrous).;OUI;NON;"Une parenthèse hors du temps ; les sources coulent directement sur la plage; saisissant. Bain gratuit.";36.8040;10.5690;;;Accès libre;Gratuit;"thermal; sources chaudes; bien-être; pittoresque; authentique"
27;Grottes Marines d'El Haouaria;activite;El Haouaria;"Caves taillées dans la falaise en bord de mer; accès par le sentier côtier. Splendide pour la photo.";OUI;NON;Un décor naturel unique creusé par l'homme et la mer. Idéal en fin de journée pour la lumière dorée.;37.0550;11.0020;;;Accessible toute l'année;Gratuit;"grottes marines; falaise; photo; nature; randonnée côtière"
28;Forêt et Plage de Dar Chichou;plage;El Haouaria;"Forêt de 400 hectares au bord de la mer; idéale pour les pique-niques et promenades ombragées. Accès direct à une plage sauvage.";OUI;NON;Un lieu magique où la forêt rencontre la mer. Parfait pour une journée en famille à l'abri du soleil.;37.0540;11.0080;;;Accès libre;Gratuit;"forêt; plage; pique-nique; ombre; famille; sauvage"
29;Café Sidi Bou Khrissan;cafe;Kelibia;"Café maure historique perché sur la colline du Fort; offrant une vue imprenable sur le port et la mer.";OUI;NON;"Le café le mieux situé de Kelibia. Asseyez-vous; commandez un thé à la menthe et regardez le soleil se coucher.";36.8490;11.0930;;;9h-23h;3-7 Dt;"vue mer; coucher de soleil; café maure; thé; authentique"
30;Plage de Sidi Mansour;plage;Kelibia;"Longue plage de sable blanc préservée; bordée de dunes. Moins fréquentée que Mansoura; idéale pour s'isoler.";OUI;NON;"La plage sauvage de Kelibia. Accès par une piste; mais le cadre vierge en vaut la peine.";36.8920;11.1180;;;Accès libre (piste);Gratuit;"sauvage; dunes; isolé; snorkeling; camping sauvage"
