question,reponse,tags
Que manger à Korba ?,"À Korba, vous pouvez déguster des spécialités locales comme le couscous au poisson, les fruits de mer et les pâtisseries traditionnelles.","gastronomie,capbon,korba"
Kélibia est-elle adaptée aux familles ?,"Oui, Kélibia est adaptée aux familles grâce à ses plages sécurisées et ses activités variées.","famille,capbon,kélibia"
El Haouaria est-elle adaptée aux familles ?,"Oui, El Haouaria est adaptée aux familles grâce à ses plages sécurisées et ses activités variées.","famille,capbon,el haouaria"
Quelle est la meilleure plage à Korba ?,"Les plages de Korba sont réputées pour leur sable fin et leurs eaux claires, idéales pour la baignade et la détente.","plages,capbon,korba"
Quelles activités touristiques peut-on faire à Menzel Temime ?,"À Menzel Temime, vous pouvez profiter des plages, visiter les sites culturels, pratiquer des activités nautiques et découvrir la gastronomie locale.","tourisme,capbon,menzel temime"
Comment se déplacer à Kélibia ?,"À Kélibia, vous pouvez vous déplacer en taxi, en louant une voiture ou via les transports publics locaux.","transport,capbon,kélibia"
Quelle est la meilleure plage à Hammamet ?,"Les plages de Hammamet sont réputées pour leur sable fin et leurs eaux claires, idéales pour la baignade et la détente.","plages,capbon,hammamet"
Comment se déplacer à Menzel Temime ?,"À Menzel Temime, vous pouvez vous déplacer en taxi, en louant une voiture ou via les transports publics locaux.","transport,capbon,menzel temime"
Comment se déplacer à Korba ?,"À Korba, vous pouvez vous déplacer en taxi, en louant une voiture ou via les transports publics locaux.","transport,capbon,korba"
Que manger à El Haouaria ?,"À El Haouaria, vous pouvez déguster des spécialités locales comme le couscous au poisson, les fruits de mer et les pâtisseries traditionnelles.","gastronomie,capbon,el haouaria"
Quelles activités touristiques peut-on faire à Korba ?,"À Korba, vous pouvez profiter des plages, visiter les sites culturels, pratiquer des activités nautiques et découvrir la gastronomie locale.","tourisme,capbon,korba"
Que visiter à Menzel Temime ?,"À Menzel Temime, il est possible de visiter des sites historiques, des marchés locaux et des lieux culturels typiques.","culture,capbon,menzel temime"
Que manger à Hammamet ?,"À Hammamet, vous pouvez déguster des spécialités locales comme le couscous au poisson, les fruits de mer et les pâtisseries traditionnelles.","gastronomie,capbon,hammamet"
Quelle est la meilleure plage à Nabeul ?,"Les plages de Nabeul sont réputées pour leur sable fin et leurs eaux claires, idéales pour la baignade et la détente.","plages,capbon,nabeul"
